# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x10016460|StartEntityQuery|_StartEntityQuery|function|284
0x100165a0|search_array|_search_array|function|37
0x100165d0|RemoveObjectByType|_RemoveObjectByType|function|155
0x10016670|noop_ret2|_noop_ret2|function|1
0x10016680|RemoveLinkedNodeById|_RemoveLinkedNodeById|function|139
0x10016710|walk_and_free|_walk_and_free|function|66
0x10016760|AllocGameObject|_AllocGameObject|function|930
0x10016cd0|AddOrAccumulateObject|_AddOrAccumulateObject|function|272
0x10016de0|func_10016de0|_func_10016de0|function|186
0x10016ea0|SubtractObjectAmountNoKill|_SubtractObjectAmountNoKill|function|211
0x10016f80|FindNextFilteredEntity|_FindNextFilteredEntity|function|346
0x100170e0|StartFilteredEntitySearch|_StartFilteredEntitySearch|function|267
0x10017210|search_struct|_search_struct|function|39
0x10017240|func_10017240|_func_10017240|function|167
0x10017330|func_10017330|_func_10017330|function|207
0x10017400|func_10017400|_func_10017400|function|202
0x100174d0|||function|959
0x10017910|SetupEntityQuery|_SetupEntityQuery|function|145
0x100179b0|GetBuildingTypeCategory|_GetBuildingTypeCategory|function|108
0x10017a70|search_table_67|_search_table_67|function|62
0x10017ab0|CheckEntityType|_CheckEntityType|function|74
0x10017b00|||function|320
0x10017c40|||function|742
0x10017f30|call_compare|_call_compare|function|35
0x10017f60|find_and_process|_find_and_process|function|36
0x10017f90|InitEntityIfValid|_InitEntityIfValid|function|23
0x10017fb0|func_10017fb0|_func_10017fb0|function|278
0x100180d0|InitEntitySlots|_InitEntitySlots|function|81
0x10018130|is_in_range|_is_in_range|library|32
0x10018150|EntityClassCheck|_EntityClassCheck|function|34
0x100181a0|CheckStatLevel|_CheckStatLevel|function|87
0x10018200|MapEntityStatRange|_MapEntityStatRange|function|123
0x10018330|func_10018330|_func_10018330|function|276
0x10018450|RandomStatModifier|_RandomStatModifier|function|78
0x100184a0|find_entity_21c|_find_entity_21c|function|56
